*This file contains information of precipitation per cell and per time.
*For each time, 25 values are provided, corresponding to the 25 cells of the discretized basin.
* 1  2  3  4  5
* 6  7  8  9 10
*11 12 13 14 15
*16 17 18 19 20
*21 22 23 24 25

*******************
P	t=	0		
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
P	t=	1		
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
2.00	1.00	0.00	0.00	0.00
P	t=	2		
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
2.00	1.00	0.00	0.00	0.00
3.00	2.00	1.00	0.00	0.00
P	t=	3		
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
2.00	1.00	0.00	0.00	0.00
3.00	2.00	1.00	0.00	0.00
4.00	3.00	2.00	1.00	0.00
P	t=	4		
1.00	0.00	0.00	0.00	0.00
2.00	1.00	0.00	0.00	0.00
3.00	2.00	1.00	0.00	0.00
4.00	3.00	2.00	1.00	0.00
5.00	4.00	3.00	2.00	1.00
P	t=	5		
2.00	1.00	0.00	0.00	0.00
3.00	2.00	1.00	0.00	0.00
4.00	3.00	2.00	1.00	0.00
5.00	4.00	3.00	2.00	1.00
4.00	5.00	4.00	3.00	2.00
P	t=	6		
3.00	2.00	1.00	0.00	0.00
4.00	3.00	2.00	1.00	0.00
5.00	4.00	3.00	2.00	1.00
4.00	5.00	4.00	3.00	2.00
3.00	4.00	5.00	4.00	3.00
P	t=	7		
4.00	3.00	2.00	1.00	0.00
5.00	4.00	3.00	2.00	1.00
4.00	5.00	4.00	3.00	2.00
3.00	4.00	5.00	4.00	3.00
2.00	3.00	4.00	5.00	4.00
P	t=	8		
5.00	4.00	3.00	2.00	1.00
4.00	5.00	4.00	3.00	2.00
3.00	4.00	5.00	4.00	3.00
2.00	3.00	4.00	5.00	4.00
1.00	2.00	3.00	4.00	5.00
P	t=	9		
4.00	5.00	4.00	3.00	2.00
3.00	4.00	5.00	4.00	3.00
2.00	3.00	4.00	5.00	4.00
1.00	2.00	3.00	4.00	5.00
0.00	1.00	2.00	3.00	4.00
P	t=	10		
3.00	4.00	5.00	4.00	3.00
2.00	3.00	4.00	5.00	4.00
1.00	2.00	3.00	4.00	5.00
0.00	1.00	2.00	3.00	4.00
0.00	0.00	1.00	2.00	3.00
P	t=	11		
2.00	3.00	4.00	5.00	4.00
1.00	2.00	3.00	4.00	5.00
0.00	1.00	2.00	3.00	4.00
0.00	0.00	1.00	2.00	3.00
0.00	0.00	0.00	1.00	2.00
P	t=	12		
1.00	2.00	3.00	4.00	5.00
0.00	1.00	2.00	3.00	4.00
0.00	0.00	1.00	2.00	3.00
0.00	0.00	0.00	1.00	2.00
0.00	0.00	0.00	0.00	1.00
P	t=	13		
0.00	1.00	2.00	3.00	4.00
0.00	0.00	1.00	2.00	3.00
0.00	0.00	0.00	1.00	2.00
0.00	0.00	0.00	0.00	1.00
0.00	0.00	0.00	0.00	0.00
P	t=	14		
0.00	0.00	1.00	2.00	3.00
0.00	0.00	0.00	1.00	2.00
0.00	0.00	0.00	0.00	1.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
P	t=	15		
0.00	0.00	0.00	1.00	2.00
0.00	0.00	0.00	0.00	1.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
P	t=	16		
0.00	0.00	0.00	0.00	1.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
